"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1253","6","Monarch Phenotype","","Abnormality of body height","0.0135","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","3.1E-4","","HP:0000002","0.1869666231504994","0"
"1253","6","Monarch Phenotype","","Abnormal foot morphology","0.0135","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","3.1E-4","","HP:0001760","0.1869666231504994","0"
"419","4","Monarch Phenotype","","Aplasia/Hypoplasia of the cerebellum","0.0135","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.1E-4","","HP:0007360","0.1869666231504994","0"
"31","2","Monarch Phenotype","","Central apnea","0.0138","STAG2|SMC1A","580","669|777","3.2E-4","","HP:0002871","0.18601209135987634","0"
"6","2","SMART Domains","","SMC proteins Flexible Hinge Domain","0.0142","SMC1A|SMC3","580","777|759","1.72E-5","","SM00968","0.18477116556169434","0"
"3","2","Pfam","","STAG domain  ","0.0143","STAG2|STAG1","580","669|747","6.17E-6","","PF08514","0.18446639625349381","0"
"17","2","GO Biological Process","","Mitotic chromosome condensation","0.0144","CDCA5|PLK1","580","723|711","1.0E-4","","GO:0007076","0.18416375079047503","0"
"114","3","GO Biological Process","","Stem cell population maintenance","0.0147","NIPBL|SMC1A|SMC3","580","729|777|759","1.1E-4","","GO:0019827","0.1832682665251824","0"
"3","2","InterPro Domains","","STAG","0.0148","STAG2|STAG1","580","669|747","6.17E-6","","IPR013721","0.18297382846050425","0"
"3","2","InterPro Domains","","Stromalin conservative domain","0.0148","STAG2|STAG1","580","669|747","6.17E-6","","IPR020839","0.18297382846050425","0"
"3","2","InterPro Domains","","Cohesin subunit Scc3/SA","0.0148","STAG2|STAG1","580","669|747","6.17E-6","","IPR039662","0.18297382846050425","0"
"812","5","Monarch Phenotype","","Functional abnormality of the inner ear","0.0153","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","3.6E-4","","HP:0011389","0.1815308569182401","0"
"5","2","InterPro Domains","","Structural maintenance of chromosomes protein","0.0155","SMC1A|SMC3","580","777|759","1.29E-5","","IPR024704","0.18096683018297086","0"
"816","5","Monarch Phenotype","","Abnormal external nose morphology","0.0156","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","3.7E-4","","HP:0010938","0.18068754016455385","0"
"1300","6","Monarch Phenotype","","Aplasia/Hypoplasia of the cerebrum","0.0158","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","3.8E-4","","HP:0007364","0.18013429130455774","0"
"821","5","Monarch Phenotype","","Generalized abnormality of skin","0.0159","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","3.8E-4","","HP:0011354","0.17986028756795486","0"
"446","4","Monarch Phenotype","","Myopia","0.0164","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.9E-4","","HP:0000545","0.1785156151952302","0"
"180","3","Monarch Phenotype","","Prominent nasal bridge","0.0167","SMC1A|SMC3|STAG1","580","777|759|747","4.0E-4","","HP:0000426","0.17772835288524166","0"
"837","5","Monarch Phenotype","","Abnormal renal morphology","0.0168","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","4.1E-4","","HP:0012210","0.17746907182741373","0"
"1903","7","Monarch Phenotype","","Cognitive impairment","0.0168","STAG2|NIPBL|RAD21|PDS5B|SMC1A|SMC3|STAG1","580","669|729|765|741|777|759|747","4.1E-4","","HP:0100543","0.17746907182741373","0"
"19","2","GO Biological Process","","Positive regulation of mitotic sister chromatid separation","0.0169","ESPL1|AURKB","580","735|705","1.3E-4","","GO:1901970","0.17721132953863267","0"
"183","3","Monarch Phenotype","","Cleft lip","0.0171","STAG2|NIPBL|SMC1A","580","669|729|777","4.2E-4","","HP:0410030","0.1767003889607846","0"
"5378","12","TISSUES","","Viscus","0.0173","STAG2|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|CDK1","580","669|729|765|753|711|771|741|705|777|759|672|699","9.89E-5","","BTO:0001491","0.17619538968712045","0"
"165","3","GO Cellular Component","","Kinetochore","0.0174","PLK1|AURKB|SMC1A","580","711|705|777","3.1E-4","","GO:0000776","0.17594507517174002","0"
"31","2","COMPARTMENTS","","Spindle midzone","0.0176","PLK1|AURKB","580","711|705","3.2E-4","","GOCC:0051233","0.175448733218585","0"
"7","2","InterPro Domains","","RecF/RecN/SMC, N-terminal","0.0177","SMC1A|SMC3","580","777|759","2.22E-5","","IPR003395","0.17520267336381934","0"
"6","2","InterPro Domains","","SMCs flexible hinge","0.0177","SMC1A|SMC3","580","777|759","1.72E-5","","IPR010935","0.17520267336381934","0"
"6","2","InterPro Domains","","SMCs flexible hinge superfamily","0.0177","SMC1A|SMC3","580","777|759","1.72E-5","","IPR036277","0.17520267336381934","0"
"461","4","Monarch Phenotype","","Anteverted nares","0.0177","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","4.4E-4","","HP:0000463","0.17520267336381934","0"
"849","5","Monarch Phenotype","","Abnormality of digestive system morphology","0.0177","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","4.4E-4","","HP:0025033","0.17520267336381934","0"
"126","3","GO Biological Process","","Meiosis I","0.0185","ESPL1|RAD21|PLK1","580","735|765|711","1.4E-4","","GO:0007127","0.17328282715969862","0"
"1354","6","Monarch Phenotype","","Neurological speech impairment","0.0186","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","4.7E-4","","HP:0002167","0.17304870557820837","0"
"39","2","Monarch Phenotype","","Infantile axial hypotonia","0.0197","STAG2|SMC1A","580","669|777","5.0E-4","","HP:0009062","0.17055337738384072","0"
"41","2","Monarch Phenotype","","Abnormal number of incisors","0.0213","STAG2|SMC1A","580","669|777","5.5E-4","","HP:0011064","0.16716203965612625","0"
"12","2","STRING Clusters","","Chromosome passenger complex, and Outer kinetochore","0.0213","PLK1|AURKB","580","711|705","5.59E-5","","CL:6643","0.16716203965612625","0"
"36","2","GO Cellular Component","","Spindle midzone","0.0218","PLK1|AURKB","580","711|705","4.3E-4","","GO:0051233","0.1661543506395395","0"
"897","5","Monarch Phenotype","","Spasticity","0.0219","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","5.7E-4","","HP:0001257","0.16595558851598818","0"
"42","2","Monarch Phenotype","","Median cleft lip","0.022","STAG2|SMC1A","580","669|777","5.7E-4","","HP:0000161","0.16575773191777937","0"
"903","5","Monarch Phenotype","","Strabismus","0.0225","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","5.9E-4","","HP:0000486","0.16478174818886376","0"
"230","4","InterPro Domains","","Armadillo-like helical","0.0226","NIPBL|WAPL|PDS5A|PDS5B","580","729|753|771|741","3.15E-5","","IPR011989","0.1645891560852599","0"
"44","2","Monarch Phenotype","","Hemivertebrae","0.0239","STAG2|RAD21","580","669|765","6.3E-4","","HP:0002937","0.16216020990518623","0"
"1459","6","Monarch Phenotype","","Abnormality of limb bone morphology","0.026","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","7.0E-4","","HP:0002813","0.1585026652029182","0"
"5781","12","GO Biological Process","","Macromolecule metabolic process","0.0269","ESPL1|CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|CDK1","580","735|723|729|765|711|771|741|705|777|759|672|699","2.1E-4","","GO:0043170","0.1570247719997592","0"
"531","4","Monarch Phenotype","","Abnormal morphology of the nasal alae","0.0276","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","7.5E-4","","HP:0000429","0.15590909179347823","0"
"536","4","Monarch Phenotype","","Puberty and gonadal disorders","0.0284","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","7.8E-4","","HP:0008373","0.15466816599529623","0"
"50","2","Monarch Phenotype","","Diabetes insipidus","0.029","STAG2|SMC1A","580","669|777","8.0E-4","","HP:0000873","0.1537602002101044","0"
"50","2","Monarch Phenotype","","Limited elbow extension","0.029","NIPBL|STAG1","580","729|747","8.0E-4","","HP:0001377","0.1537602002101044","0"
"1505","6","Monarch Phenotype","","Hypotonia","0.0296","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","8.2E-4","","HP:0001252","0.15287082889410614","0"
"51","2","Monarch Phenotype","","Abnormal hypothalamus physiology","0.0297","STAG2|SMC1A","580","669|777","8.3E-4","","HP:0012285","0.15272435506827878","0"
"981","5","Monarch Phenotype","","Increased inflammatory response","0.0303","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","8.5E-4","","HP:0012649","0.1518557371497695","0"
"52","2","Monarch Phenotype","","Chronic lung disease","0.0305","STAG2|SMC1A","580","669|777","8.6E-4","","HP:0006528","0.15157001606532142","0"
"43","2","Reactome Pathways","","Condensation of Prophase Chromosomes","0.0326","PLK1|CDK1","580","711|699","6.0E-4","","HSA-2299718","0.14867823999320612","0"
"32","2","WikiPathways","","Prion disease pathway","0.0333","RAD21|SMC3","580","765|759","3.4E-4","","WP3995","0.147755576649368","0"
"245","3","Monarch Phenotype","","Pneumonia","0.0341","STAG2|NIPBL|SMC1A","580","669|729|777","9.8E-4","","HP:0002090","0.14672456210075022","0"
"250","3","Monarch Phenotype","","Poor speech","0.0359","STAG2|SMC1A|SMC3","580","669|777|759","0.001","","HP:0002465","0.14449055514216808","0"
"59","2","Monarch Phenotype","","Limb dystonia","0.038","STAG2|SMC1A","580","669|777","0.0011","","HP:0002451","0.142021640338319","0"
"60","2","Monarch Phenotype","","Central hypothyroidism","0.0389","STAG2|SMC1A","580","669|777","0.0011","","HP:0011787","0.14100503986742924","0"
"1607","6","Monarch Phenotype","","Seizure","0.0397","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","0.0012","","HP:0001250","0.14012094932368852","0"
"5506","11","GO Cellular Component","","Protein-containing complex","0.04","STAG2|MAU2|NIPBL|RAD21|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|717|729|765|711|705|777|759|672|747|699","8.2E-4","","GO:0032991","0.13979400086720375","0"
"32","2","GO Biological Process","","Negative regulation of DNA replication","0.0421","WAPL|PDS5A","580","753|771","3.4E-4","","GO:0008156","0.13757179041643317","0"
"1070","5","Monarch Phenotype","","Abnormality of the endocrine system","0.0429","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","0.0013","","HP:0000818","0.13675427078152758","0"
"612","4","Monarch Phenotype","","Ventriculomegaly","0.0433","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","0.0013","","HP:0002119","0.13635121036466347","0"
"33","2","GO Biological Process","","Histone phosphorylation","0.044","AURKB|CDK1","580","705|699","3.6E-4","","GO:0016572","0.13565473235138126","0"
"1648","6","Monarch Phenotype","","Abnormality of skin morphology","0.0445","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","0.0013","","HP:0011121","0.13516399890190683","0"
"40","2","WikiPathways","","ATM signaling pathway","0.0453","SMC1A|CDK1","580","777|699","5.2E-4","","WP2516","0.1343901797987168","0"
"1656","6","Monarch Phenotype","","Intellectual disability","0.0455","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","0.0014","","HP:0001249","0.13419886033428877","0"
"34","2","GO Biological Process","","Mitotic G2 DNA damage checkpoint signaling","0.0462","PLK1|CDK1","580","711|699","3.8E-4","","GO:0007095","0.13353580244438745","0"
"1100","5","Monarch Phenotype","","Upper motor neuron dysfunction","0.0476","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","0.0014","","HP:0002493","0.1322393047279507","0"
"1673","6","Monarch Phenotype","","Abnormality of the vasculature","0.0477","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","0.0014","","HP:0002597","0.13214816209598862","0"
"1101","5","Monarch Phenotype","","Abnormality of the upper urinary tract","0.0477","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","0.0014","","HP:0010935","0.13214816209598862","0"
"44","2","WikiPathways","","Integrated cancer pathway","0.0489","PLK1|CDK1","580","711|699","6.3E-4","","WP1971","0.13106911408763797","0"
"46","2","WikiPathways","","Microtubule cytoskeleton regulation","0.0489","AURKB|CDK1","580","705|699","6.8E-4","","WP2038","0.13106911408763797","0"
