"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"179","4","Monarch Phenotype","","Highly arched eyebrow","0.0011","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.2E-5","","HP:0002553","0.2958607314841775","0"
"45","3","WikiPathways","","ATM signaling in development and disease ","0.0012","AURKB|SMC1A|CDK1","580","705|777|699","7.42E-6","","WP3878","0.29208187539523756","0"
"337","6","InterPro Domains","","Armadillo-type fold","0.0013","STAG2|NIPBL|WAPL|PDS5A|PDS5B|STAG1","580","669|729|753|771|741|747","1.84E-7","","IPR016024","0.2886056647693163","0"
"195","4","Monarch Phenotype","","Abnormality of the uterus","0.0013","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.67E-5","","HP:0000130","0.2886056647693163","0"
"191","4","Monarch Phenotype","","Brachycephaly","0.0013","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.54E-5","","HP:0000248","0.2886056647693163","0"
"8122","15","UniProt Keywords","","Phosphoprotein","0.0014","STAG2|ESPL1|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|723|729|765|753|711|771|741|705|777|759|672|747|699","1.67E-5","","KW-0597","0.2853871964321762","0"
"196","4","Monarch Phenotype","","Low-set, posteriorly rotated ears","0.0014","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.7E-5","","HP:0000368","0.2853871964321762","0"
"6","2","Monarch Phenotype","","Semilobar holoprosencephaly","0.0014","STAG2|SMC1A","580","669|777","1.72E-5","","HP:0002507","0.2853871964321762","0"
"4","2","GO Biological Process","","Maintenance of mitotic sister chromatid cohesion","0.0015","MAU2|NIPBL","580","717|729","9.25E-6","","GO:0034088","0.28239087409443187","0"
"4","2","GO Biological Process","","Regulation of cohesin loading","0.0015","CDCA5|WAPL","580","723|753","9.25E-6","","GO:0071922","0.28239087409443187","0"
"432","5","Monarch Phenotype","","Sleep disturbance","0.0015","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","1.87E-5","","HP:0002360","0.28239087409443187","0"
"452","5","Monarch Phenotype","","Hypoplastic male external genitalia","0.0017","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","2.32E-5","","HP:0000050","0.2769551078621726","0"
"7","2","Reactome Pathways","","Activation of NIMA Kinases NEK9, NEK6, NEK7","0.0019","PLK1|CDK1","580","711|699","2.22E-5","","HSA-2980767","0.27212463990471714","0"
"460","5","Monarch Phenotype","","Autistic behavior","0.0019","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","2.52E-5","","HP:0000729","0.27212463990471714","0"
"5","2","GO Biological Process","","Negative regulation of sister chromatid cohesion","0.002","ESPL1|WAPL","580","735|753","1.29E-5","","GO:0045875","0.2698970004336019","0"
"5","2","GO Biological Process","","Regulation of anaphase-promoting complex-dependent catabolic process","0.002","PLK1|CDC20","580","711|672","1.29E-5","","GO:1905784","0.2698970004336019","0"
"223","4","Monarch Phenotype","","Macrotia","0.002","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.79E-5","","HP:0000400","0.2698970004336019","0"
"469","5","Monarch Phenotype","","Intrauterine growth retardation","0.002","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","2.76E-5","","HP:0001511","0.2698970004336019","0"
"471","5","Monarch Phenotype","","Abnormal nostril morphology","0.002","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","2.82E-5","","HP:0005288","0.2698970004336019","0"
"1290","7","GO Cellular Component","","Nuclear protein-containing complex","0.0021","STAG2|MAU2|NIPBL|RAD21|SMC1A|SMC3|CDC20","580","669|717|729|765|777|759|672","3.54E-5","","GO:0140513","0.26777807052660807","0"
"821","6","Monarch Phenotype","","Abnormality of the dentition","0.0021","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","2.98E-5","","HP:0000164","0.26777807052660807","0"
"73","3","Reactome Pathways","","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","0.0025","PLK1|AURKB|CDC20","580","711|705|672","2.97E-5","","HSA-174178","0.26020599913279624","0"
"499","5","Monarch Phenotype","","Feeding difficulties in infancy","0.0025","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","3.7E-5","","HP:0008872","0.26020599913279624","0"
